,Age,Borough,Interests,Biography
0,2,BROOKLYN,"['Food and Agriculture', 'Food and Agriculture', 'Technology and Innovation']","[['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I participated as a guest speaker in a webinar about machine learning.'], ['Helping people with technology is really cool to me.']]"
1,1,MANHATTAN,"['Environment and Climate change', 'Recreation and Leisure', 'Education']","[['I participated in several nature cleaning activities.'], ['I participated in several nature cleaning activities.'], ['I think play and sports are important for children’s development.'], ['I worked as a guitarist in a local restaurant for six months.'], ['I believe everyone should have the right to go to school.'], ['I would like to teach children subjects such as math and science.']]"
2,1,BRONX,"['Technology and Innovation', 'Outreach and Advertising']","[['Teaching basic internet applications to people and helping them with smart technology.'], ['I was a guest panelist for a computer science and technology webinar.'], ['I want to promote upcoming events hosted by local businesses or artists.'], ['Throughout my university years, I was the outreach coordinator for my program.']]"
3,1,QUEENS,"['Environment and Climate change', 'Outreach and Advertising', 'Food and Agriculture']","[['Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.'], ['I want to help conduct a protest outside of the city centre to raise awareness for climate change.'], ['Throughout my university years, I was the outreach coordinator for my program.'], ['I like to engage in community service and help people advertise themselves to the public.'], ['I think everyone should have access to enough to eat to be healthy.'], ['I think everyone should have access to enough to eat to be healthy.']]"
4,1,QUEENS,['Child services'],"[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['I really care about making the world safer for kids.']]"
5,1,MANHATTAN,"['Education', 'Health services', 'Environment and Climate change']","[['I would like to support less privileged people in their learning process and education supplies they can’t afford.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I imagine helping with blood donations and helping make health resources accessible to patients.'], ['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.'], ['I want to help conduct a protest outside of the city centre to raise awareness for climate change.']]"
6,1,QUEENS,"['Education', 'Social services']","[['I helped as a learning and development coordinator for AI4Good summer lab.'], ['I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.'], ['I imagine helping and fostering senior citizens with their daily needs.'], ['I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.']]"
7,1,QUEENS,"['Health services', 'Food and Agriculture', 'Advocacy and Justice']","[['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.'], ['I enjoy helping and caring for people within my community.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I imagine serving free food and vegetables in our local community shop.'], ['I take social issues such as gender discrimination very seriously and want to create an equitable society.'], ['I helped with organising several conferences and workshops related to women rights']]"
8,1,QUEENS,['Food and Agriculture'],"[['I am passionate about the food industry as I really like promoting healthy eating habits.'], ['I imagine serving free food and vegetables in our local community shop.']]"
9,1,QUEENS,"['Child services', 'Child services']","[['I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.'], ['Helping children with vaccination drives and childcare facilities like crutch and daycare.'], ['For two weeks during winter break, I volunteered full-time at a day care.'], ['For two weeks during winter break, I volunteered full-time at a day care.']]"
10,1,STATEN IS,"['Recreation and Leisure', 'Recreation and Leisure', 'Recreation and Leisure']","[['Last summer, I coached a U16 girls soccer team.'], ['I think play and sports are important for children’s development.'], ['I think play and sports are important for children’s development.'], ['I am really passionate about sports and want to teach them to other people.'], ['I want to host outdoor events in my community to promote active living.'], ['I am really passionate about sports and want to teach them to other people.']]"
