,Unnamed: 0,Organization/ City Agency/ Division Name,Borough,Interest Categories,Most volunteers in age group
0,0,"20/20 Vision for Schools, Inc. d/b/a Thrive Collective",BROOKLYN,Education;Recreation and Leisure;Outreach and Advertising;Child services,1
1,1,826NYC,BROOKLYN,Education;Outreach and Advertising;Child services,1
2,2,9/11 Memorial & Museum,MANHATTAN,Social services;Education;Recreation and Leisure;Outreach and Advertising,0
3,3,A Free Bird,BROOKLYN,Education;Recreation and Leisure;Outreach and Advertising;Child services,1
4,4,Abbott House,BRONX,Health services;Social services;Advocacy and Justice;Outreach and Advertising;Child services,1
5,5,ABSW Senior Center,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,2
6,6,Academy of Medical & Public Health Services,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Outreach and Advertising;Child services,1
7,7,ACDP Beacon @ Ms 117,BRONX,Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,0
8,8,Administration for Children's Services,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
9,9,Agency of International Cooperation for Development,MANHATTAN,Social services;Advocacy and Justice;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
10,10,AHRCNYC,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
11,11,Alpha Phi Alpha Senior Citizens Center,QUEENS,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,1
12,12,"Amaya's Bookreads, Inc.",MANHATTAN,Education;Outreach and Advertising;Child services,1
13,13,American Alliance for Theatre & Education,,Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
14,14,American Red Cross of Greater New York,MANHATTAN,Social services;Outreach and Advertising;Child services,0
15,15,AmPark NORC Supportive Senior Services Program,BRONX,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,1
16,16,Annette Julien Trust,BROOKLYN,Health services;Social services;Advocacy and Justice;Environment and Climate change;Outreach and Advertising;Child services,0
17,17,Arab American Association of NY,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
18,18,ARC XVI FORT WASHINGTON,MANHATTAN,Health services;Social services,1
19,19,Art and Resistance Through Education (ARTE),,Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
20,20,Artists Striving To End Poverty,MANHATTAN,Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
21,21,ArtistYear,,Education;Recreation and Leisure;Outreach and Advertising,2
22,22,Asian Americans for Equality,QUEENS,Social services;Advocacy and Justice;Recreation and Leisure;Outreach and Advertising;Child services,0
23,23,Asian Community Care Management,MANHATTAN,Health services;Social services,1
24,24,Association to Benefit Children,MANHATTAN,Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
25,25,Audubon New York,MANHATTAN,Education;Environment and Climate change;Outreach and Advertising;Child services,2
26,26,Avenues: The World School,MANHATTAN,Education;Outreach and Advertising;Child services,1
27,27,Back on My Feet,MANHATTAN,Social services;Outreach and Advertising,1
28,28,"Bay Ridge Center, Inc.",BROOKLYN,Health services;Social services,1
29,29,BCA 6th Ave Neighborhood Senior Center,BROOKLYN,Health services;Social services,2
30,30,Behind the Book,MANHATTAN,Education;Outreach and Advertising;Child services,1
31,31,Bellevue Day Care Center,MANHATTAN,Outreach and Advertising;Child services,1
32,32,Bergen Beach Youth Organization,BROOKLYN,Health services;Social services,2
33,33,Berkeley College,MANHATTAN,Health services;Social services;Advocacy and Justice;Environment and Climate change;Outreach and Advertising;Child services,1
34,34,"Beth - Hark Christian Counseling Center, Inc.",MANHATTAN,Social services;Outreach and Advertising,1
35,35,Big Apple Greeter,MANHATTAN,Outreach and Advertising,2
36,36,Big Brothers Big Sisters of NYC,MANHATTAN,Advocacy and Justice;Education;Outreach and Advertising;Child services,1
37,37,Bigs & Littles NYC Mentoring,MANHATTAN,Social services;Outreach and Advertising;Child services,1
38,38,Birch Family Services,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
39,39,Bloomingdale Aging in Place,,Health services;Social services,2
40,40,"Blue Engine, Inc.",MANHATTAN,Education;Outreach and Advertising,1
41,41,Bonnie Youth Club (aka Bonnie Boys Club),BROOKLYN,Outreach and Advertising;Child services,1
42,42,Boys & Girls Club of Harlem,MANHATTAN,Education;Outreach and Advertising;Child services,1
43,43,Breakthrough New York,MANHATTAN,Education;Outreach and Advertising;Child services,1
44,44,Bridge Street Development Corp,BROOKLYN,Health services;Social services;Outreach and Advertising;Child services,1
45,45,"Bridgefield Civic League, Inc.",BRONX,Health services;Social services;Advocacy and Justice;Education;Outreach and Advertising,1
46,46,Bronx House Weinberg Neighborhood Center,,Health services;Social services,2
47,47,Bronx River Alliance,BRONX,Environment and Climate change,1
48,48,Bronx Rockets,BRONX,Health services;Social services;Advocacy and Justice;Recreation and Leisure,1
49,49,Bronx Sole,BRONX,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
50,50,Brookdale University Hospital Medical Center,,Health services,1
51,51,Brooklyn Bar Association Volunteer Lawyers Project,BROOKLYN,Health services;Social services;Advocacy and Justice,1
52,52,Brooklyn Botanic Garden,BROOKLYN,Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
53,53,Brooklyn Bridge Park Conservancy,BROOKLYN,Health services;Social services;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising,1
54,54,Brooklyn College,BROOKLYN,Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
55,55,Brooklyn Community Services,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Outreach and Advertising;Child services,1
56,56,Brooklyn Public Library,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,0
57,57,Brooks Senior Center,QUEENS,Health services;Social services;Education;Recreation and Leisure;Outreach and Advertising,2
58,58,Buddhist Tzu Chi Foundation,QUEENS,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,2
59,59,buildOn,MANHATTAN,,1
60,60,Bushwick Hylan,BROOKLYN,Health services;Social services,2
61,61,Business United in Investing Lending and Development (Build),MANHATTAN,Education;Outreach and Advertising;Child services,1
62,62,CAMBA,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Outreach and Advertising;Child services,1
63,63,Canaan Senior Service Center,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Technology and Innovation;Outreach and Advertising,2
64,64,Catholic Charities - Glenwood Senior Center,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,2
65,65,Catholic Charities Brooklyn And Queens - Catholic Charities Neighborhood Services,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
66,66,Catholic Charities Community Services,MANHATTAN,Social services;Food and Agriculture,0
67,67,CCNS Seaside Senior Center,QUEENS,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,0
68,68,CCNS St. Charles Jubilee Senior Center,BROOKLYN,Health services;Social services,2
69,69,Center for Family Life - SCO Family of Services,,Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,0
70,70,"Center for Independence of the Disabled, NY",MANHATTAN,Health services;Social services;Advocacy and Justice;Recreation and Leisure,1
71,71,"CenterLight Health System, Inc.",BRONX,Health services;Social services,2
72,72,Central Park Conservancy,MANHATTAN,Environment and Climate change;Recreation and Leisure;Outreach and Advertising,0
73,73,Chai Lifeline,MANHATTAN,Health services;Social services;Outreach and Advertising;Child services,1
74,74,Change For Kids,MANHATTAN,Education;Recreation and Leisure;Outreach and Advertising;Child services,0
75,75,CHAZAQ,QUEENS,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
76,76,Chelsea Film Festival,MANHATTAN,Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising,1
77,77,Chhaya Community Development Corporation,QUEENS,Social services;Advocacy and Justice;Recreation and Leisure;Child services,1
78,78,"Children of Promise, NYC",BROOKLYN,Health services;Outreach and Advertising;Child services,2
79,79,Children's Aid,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Outreach and Advertising;Child services,1
80,80,"Choral Chameleon, Inc.",BROOKLYN,Education;Recreation and Leisure;Outreach and Advertising,1
81,81,"Christ Disciples International Ministries, Inc.",BRONX,Health services;Social services;Advocacy and Justice;Food and Agriculture;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
82,82,Christopher Blenman Neighborhood Center,BROOKLYN,Health services;Social services,2
83,83,"CHSCC - Central Harlem Senior Citizens' Centers, Inc.",MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,1
84,84,CIANA,QUEENS,Advocacy and Justice;Child services,0
85,85,"Cienfuegos Foundation, Inc.",QUEENS,Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
86,86,Citizen Schools,MANHATTAN,Outreach and Advertising;Child services,1
87,87,Citizens Committee for New York City,MANHATTAN,Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
88,88,City Harvest,MANHATTAN,Social services;Advocacy and Justice;Food and Agriculture,0
89,89,Citymeals on Wheels,MANHATTAN,Health services;Social services;Advocacy and Justice;Recreation and Leisure;Outreach and Advertising,1
90,90,Civic Engagement Commission,MANHATTAN,Social services;Advocacy and Justice,1
91,91,Clinton Neighborhood Center (Project FIND),MANHATTAN,Health services;Social services,2
92,92,"Clothed With Love, Inc.",BROOKLYN,Health services;Social services;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
93,93,Club Migrante Chinelos de Morelos en Nueva York,QUEENS,Social services;Advocacy and Justice;Education;Outreach and Advertising;Child services,0
94,94,Co - Op Village NORC of the Educational Alliance,MANHATTAN,Health services;Social services,2
95,95,College Goal New York,BRONX,Health services;Social services;Advocacy and Justice;Education;Outreach and Advertising;Child services,1
96,96,College of Mount Saint Vincent,BRONX,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
97,97,Community Agency for Senior Citizens,STATEN IS,Health services;Social services,2
98,98,Community Health Action of Staten Island,STATEN IS,Health services;Social services;Advocacy and Justice;Recreation and Leisure,1
99,99,Community Health Action of Staten Island,STATEN IS,Health services;Social services;Advocacy and Justice;Recreation and Leisure,0
100,100,Community Health Action of Staten Island,STATEN IS,Social services,1
